"journal","url","year","address","issn","author","number","volume","numpages","issue_date","series","ENTRYTYPE","doi","abstract","publisher","pages","booktitle","location","keywords","month","articleno","isbn","note","title","ID"
"","","2015","","","Noureddine, Adel; Rajan, Ajitha","","","4","","ICSE '15","inproceedings","","Software design patterns are widely used in software engineering to enhance productivity and maintainability. However, recent empirical studies revealed the high energy overhead in these patterns. Our vision is to automatically detect and transform design patterns during compilation for better energy efficiency without impacting existing coding practices. In this paper, we propose compiler transformations for two design patterns, Observer and Decorator, and perform an initial evaluation of their energy efficiency.","IEEE Press","623–626","Proceedings of the 37th International Conference on Software Engineering - Volume 2","Florence, Italy","","","","","","Optimising energy consumption of design patterns","10.5555/2819009.2819120"
"Future Gener. Comput. Syst.","https://doi.org/10.1016/j.future.2018.02.044","2018","NLD","0167-739X","Kern, Eva; Hilty, Lorenz M.; Guldner, Achim; Maksimov, Yuliyan V.; Filler, Andreas; Gr\""{o}ger, Jens; Naumann, Stefan","C","86","12","Sep 2018","","article","10.1016/j.future.2018.02.044","","Elsevier Science Publishers B. V.","199–210","","","Environmental criteria for software, Green software, Resource efficiency, Sustainability indicators, Model of software impacts, Energy-aware software","September","","","","Sustainable software products—Towards assessment criteria for resource and energy efficiency","10.1016/j.future.2018.02.044"
"","https://doi.org/10.1145/2465449.2465463","2013","New York, NY, USA","","Druilhe, R\'{e}mi; Anne, Matthieu; Pulou, Jacques; Duchien, Laurence; Seinturier, Lionel","","","6","","CBSE '13","inproceedings","10.1145/2465449.2465463","The number of connected devices in the home is growing dramatically, increasing the part of the Digital Home in the electric power demand. Reducing the overall energy consumption of the Digital Home becomes a concern in everyday life. Moving applications to the smaller set of devices enables to increase the number of devices that can be put into low power state, and thus reduce energy consumption. However, the application deployment constraints and the Digital Home heterogeneity limit the choice in deployment solutions onto available devices. We propose to consider distributed component-based applications to overcome this limitation. The distribution of applications constraints over its components improves their mobility, i.e., increasing the number of devices on which a component can be deployed. This approach is optimized to reduce the set of processed solutions. Moreover, the proposed architecture reacts continuously to relevant modifications in the Digital Home software architecture (connection and disconnection of devices, start and stop of applications) to always meet energy efficiency. The architecture is also designed to limit its own energy consumption impact. The feasibility of the approach is assessed with Digital Home applications and migration policies between devices.","Association for Computing Machinery","153–158","Proceedings of the 16th International ACM Sigsoft Symposium on Component-Based Software Engineering","Vancouver, British Columbia, Canada","components mobility, deployment constraints, digital home, energy efficiency","","","9781450321228","","Components mobility for energy efficiency of digital home","10.1145/2465449.2465463"
"","","2013","","","Manotas, Irene; Sahin, Cagri; Clause, James; Pollock, Lori; Winbladh, Kristina","","","8","","GREENS '13","inproceedings","","Software engineers make decisions about the design of the software they are creating on a daily basis. These decisions may impact the application in terms of efficiency, usability, flexibility, etc. Different competing design decisions are therefore often evaluated in terms of their projected impact on quality metrics prior to implementation. Recently energy has become a concern for software systems, ranging from mobile devices to large data centers. Additionally, it has been recognized that the software executing on a computing device can have a significant impact on the device's energy consumption. This raises the obvious question of whether or not it is possible to reduce the energy consumption of a software system by the means of software design decisions.This work examines how the use of different servers impacts the energy consumption of a web application. Through a controlled empirical experiment we have discovered several important findings in this regard. The results indicate that the energy consumption of a web application can vary greatly depending on the web server used to handle its requests. Furthermore, different web servers are more or less energy efficient depending on which web application features are being executed. The paper details an analysis of the results of the experiment.","IEEE Press","16–23","Proceedings of the 2nd International Workshop on Green and Sustainable Software","San Francisco, California","empirical studies, energy usage, web applications","","","9781467362672","","Investigating the impacts of web servers on web application energy usage","10.5555/2662693.2662697"
"","","2008","USA","","Seo, Chiyoung","","","","","","phdthesis","","Component-based distributed systems are increasingly deployed onto heterogeneous embedded platforms with limited battery resources. In this domain, it is crucial to provide an effective approach that enables an engineer to build energy-efficient component-based distributed systems throughout the entire development cycle spanning system design-time, construction-time, and runtime. To address this problem, this dissertation first presents a framework that (1) facilitates early estimation of the energy consumption induced by an architectural style in a component-based distributed system, and (2) consequently enables an engineer to use energy consumption estimates along with other quality attributes in determining the most appropriate style for a given distributed system during design-time. As the second part of the solution, this dissertation provides a framework that allows the system engineer to estimate the energy consumption of a component-based distributed system implemented in Java at the level of its components, both during system construction-time and during runtime. We also present several practical applications of the framework, which can be effected either at system construction-time or at runtime for reducing the distributed system’s energy consumption and consequently increasing the lifetime of the system's key services.Our overall approach, composed of the above two estimation frameworks, has been evaluated empirically on a large number of distributed application scenarios, and xii produced very accurate energy consumption estimates. The dissertation concludes with several open research questions that will frame our future work.","University of Southern California","","","","","","","9780549782216","AAI3324944","Prediction of energy consumption behavior in component-based distributed systems","10.5555/1559518"
"","https://doi.org/10.1109/SC.Companion.2012.121","2012","USA","","Shalf, John","","","22","","SCC '12","inproceedings","10.1109/SC.Companion.2012.121","Our underlying machine model has presumed modest growth in parallelism, adherence to Amdahl ratios for speeds-and-feeds, weak-scaling for parallelism, uniform distance between processing elements within a node and between nodes in a system, and conservation of the all-important FLOP in our algorithm and software design. However, the new reality is that parallelism (particularly on-chip) is growing exponentially, bandwidth and memory capacity are increasingly scarce and force us towards strong-scaling, distance as measured by power and performance is increasingly non-uniform at all levels of the machine, and flops are now heavily discounted to the point that wasting any other resource to save a few flops is a losing proposition. The enormous mismatch between our ability to express concepts of locality and implicit parallelism in existing programming models subjects our codes to huge inefficiencies and reduced portability. Future programming models need to be designed to accommodate the first derivative of these emerging hardware trends (exponential parallelism growth, non-uniformity, SIMD width growth, and bandwidth conservation). The talk will discuss the evolution of this mismatch between hardware and abstract machine models, and discuss a path to develop hardware constructs that enable more efficient implementation of core programming model semantics (example PGAS-on-chip, fast global reduction networks). We can also explore software constructs that better reflect the real costs and layout of an algorithm onto the underlying machine architecture (example hierarchical data layout directives and programmable iteration spaces).","IEEE Computer Society","920–941","Proceedings of the 2012 SC Companion: High Performance Computing, Networking Storage and Analysis","","HPC, data, energy efficiency, exascale, manycore, programming models","","","9780769549569","","The analysis of impact of energy efficiency requirements on programming environments","10.1109/SC.Companion.2012.121"
"ACM Trans. Des. Autom. Electron. Syst.","https://doi.org/10.1145/2842613","2016","New York, NY, USA","1084-4309","Lee, Sungkwang; Lee, Taemin; Park, Hyunsun; Ahn, Junwhan; Yoo, Sungjoo; Won, Youjip; Lee, Sunggu","3","21","25","July 2016","","article","10.1145/2842613","Phase-change memory (PCM) has several benefits including low cost, non-volatility, byte-addressability, etc., and limitations such as write endurance. There have been several hardware approaches to exploit the benefits while minimizing the negative impact of limitations. Software approaches could give further improvements, when used together with hardware approaches, by taking advantage of write behavior present in the program, e.g., write behavior on dynamically allocated data, which is hardly captured by hardware approaches. This work proposes a software design methodology to reduce costly PCM writes. First, on top of existing hardware approach such as Flip-N-Write, we advocate exploiting the capability of PCM bit-level differential write in the software by judiciously reusing previously allocated memory resource. In order to avoid wear-out incurred by the reuse, we present software-based wear-leveling methods that distribute writes across PCM cells. In order to further reduce PCM writes, we propose identifying data, the loss of which does not affect the functionality of the underlying software, and then diverting write traffic for those data items to volatile memory. To evaluate the effectiveness of these methods, as a case study, we applied the proposed methods to the design of journaling in SQLite, which is an important database application commonly used in smartphones. For the experiments, we used an in-house PCM-based prototype board. Our experiments with four representative mobile applications show that the proposed design methods, which is applied on top of the hardware approach, Flip-N-Write, result in 75.2% further reduction in total bit updates in PCM, on average, without aggravating wear-out compared with the baseline of PCM-based journaling, which is based only on the hardware approach. Also, the proposed design methods result in 49.4% reduction in energy consumption and 52.3% reduction in runtime compared to a typical FIFO management of free resources.","Association for Computing Machinery","","","","Phase change memory, SQLite, differential write, wear leveling","April","47","","","Differential Write-Conscious Software Design on Phase-Change Memory: An SQLite Case Study","10.1145/2842613"
"","https://doi.org/10.1145/2739011.2739012","2013","New York, NY, USA","","Menghin, Manuel; Druml, Norbert; Preschern, Christopher; Steger, Christian; Weiss, Reinhold; Bock, Holger; Haid, Josef","","","12","","EuroPLoP '13","inproceedings","10.1145/2739011.2739012","Resource management is important because of the rising diversity and the resource constraints, like energy, of embedded systems. Energy-constraints are especially challenging in mobile systems like smart phones. A solution to deal with these constraints are power-management techniques that are often only general design principles. Consequently, implementation is often done by experts only. One common approach is to optimize hardware and software until the energy-constraints are fulfilled. This leads to resulting solutions working only for one specific use case. So why shouldn't we mine and use design patterns for power-management in embedded systems from these individual solutions. In contribution, we extended the dynamics and consequence section of the pattern structure to be able to describe the impact to the power consumption. We used the extended structure and mined an example pattern called Energy Valve as a start for mining others.","Association for Computing Machinery","","Proceedings of the 18th European Conference on Pattern Languages of Program","Irsee, Germany","hardware design, resource management","","1","9781450334655","","Introduction of design pattern(s) for power-management in embedded systems","10.1145/2739011.2739012"
"","https://doi.org/10.1145/1403375.1403656","2008","New York, NY, USA","","Thoguluva, Janar; Raghunathan, Anand; Chakradhar, Srimat T.","","","6","","DATE '08","inproceedings","10.1145/1403375.1403656","Cryptographic accelerators and security processors are often used in embedded systems in order to enable enhanced security without significantly impacting performance or power consumption. However, realizing the performance promised by them requires the design of efficient software architectures for crypto offloading (offloading cryptographic operations from a host processor). In this paper, we describe an efficient software architecture for IPSec crypto offloading on a state-of-the-art mobile application processor system-on-chip (SoC) that includes a programmable security processor. We consider both user-space and kernel-space implementations of IPSec, compare their performance, and identify factors that limit the efficiency of crypto offloading. We describe two optimizations, called protocol-level crypto offloading and adaptive crypto offloading, which further improve the performance of IPSec by (i) offloading higher granularity computations to reduce the crypto offloading overheads, and (ii) using crypto offloading judiciously based on the trade-off between the savings in processing cycles vs. the overhead of communication with the security processor. We measure the performance of our implementation of IPSec crypto offloading using a commercial network protocol stack on the mobile application processor SoC, under a wide range of workloads. Our results indicate that efficient crypto offloading can result in application-level improvements of up to 10.6X in data rate and up to 5X in latency, enabling IPSec to be used for emerging high-bandwidth and interactive mobile applications.","Association for Computing Machinery","1148–1153","Proceedings of the Conference on Design, Automation and Test in Europe","Munich, Germany","","","","9783981080131","","Efficient software architecture for IPSec acceleration using a programmable security processor","10.1145/1403375.1403656"
"","https://doi.org/10.1145/2463209.2488852","2013","New York, NY, USA","","Lukasiewycz, Martin; Steinhorst, Sebastian; Andalam, Sidharta; Sagstetter, Florian; Waszecki, Peter; Chang, Wanli; Kauer, Matthias; Mundhenk, Philipp; Shanker, Shreejith; Fahmy, Suhaib A.; Chakraborty, Samarjit","","","6","","DAC '13","inproceedings","10.1145/2463209.2488852","This paper gives an overview of the system architecture and software design challenges for Electric Vehicles (EVs). First, we introduce the EV-specific components and their control, considering the battery, electric motor, and electric powertrain. Moreover, technologies that will help to advance safety and energy efficiency of EVs such as drive-by-wire and information systems are discussed. Regarding the system architecture, we present challenges in the domain of communication and computation platforms. A paradigm shift towards time-triggered in-vehicle communication systems becomes inevitable for the sake of determinism, making the introduction of new bus systems and protocols necessary. At the same time, novel computational devices promise high processing power at low cost which will make a reduction in the number of Electronic Control Units (ECUs) possible. As a result, the software design has to be performed in a holistic manner, considering the controlled component while transparently abstracting the underlying hardware architecture. For this purpose, we show how middleware and verification techniques can help to reduce the design and test complexity. At the same time, with the growing connectivity of EVs, security has to become a major design objective, considering possible threats and a security-aware design as discussed in this paper.","Association for Computing Machinery","","Proceedings of the 50th Annual Design Automation Conference","Austin, Texas","electric vehicle, software design, system architecture","","95","9781450320719","","System architecture and software design for electric vehicles","10.1145/2463209.2488852"
