"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A dynamic power profiling of embedded computer systems","C. D. Bagwell; E. Jovanov; J. H. Julick","Department of Electrical Engineering & Computer Engineering, University of Alabama Huntsville, Huntsville, AL, USA; Department of Electrical Engineering & Computer Engineering, University of Alabama Huntsville, Huntsville, AL, USA; Dept. of Electr. Eng. & Comput. Eng., Alabama Univ., Huntsville, AL, USA",Proceedings of the Thirty-Fourth Southeastern Symposium on System Theory (Cat. No.02EX540),"7 Nov 2002","2002","","","15","19","Power consumption is one of the most critical system design parameters, particularly in the case of battery powered computer systems. This paper presents a novel method of data acquisition and processing suited for the dynamic power estimation of computer systems. It is the goal of the designer of these systems to maximize the useful system operation time with a fixed battery charge. In order to achieve the goal of maximum lifetime, several key data points about the real-time power consumption of the system are needed. These include average, maximum, and minimum current drawn over a period of time and also instantaneous current drawn by the system while it is active. We developed a separate power measurement device to provide the real-time data sets generated by the system under test. The power measurement device will determine the current drawn by the system under test, and will provide to the user the average, maximum, and minimum current drawn by the system during the period of the test. The power measurement device can also provide real-time current draw of the system under the test, within the precision of the power measurement device. We use a very low power microcontroller, Texas Instruments MSP430F149, for data acquisition and processing. We also provide a real-time data stream of average samples to the standard RS-232 serial communications port with the sampling frequency of approximately 6.9 kHz. Real-time traces of the dynamic power consumption collected by this power measurement device allow designers to modify hardware and software architecture to extend the system lifetime with a given battery charge.","0094-2898","0-7803-7339-1","10.1109/SSST.2002.1026996","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1026996","","Embedded computing;Power measurement;Real time systems;System testing;Energy consumption;Batteries;Data acquisition;Power generation;Microcontrollers;Instruments","","1","","5","IEEE","7 Nov 2002","","","IEEE","IEEE Conferences"
"Computer Systems for Autonomous Vehicles","D. Blidberg","Univerisyt of New Hampshire, Durham, NH, USA",OCEANS 81,"9 Sep 2010","1981","","","83","87","The advent of the microprocessor has permitted a substantial amount of computing power to be placed in underwater automata for inspections, work, and other tasks under conditions where tethers are not desirable. Hardware costs are low and power consumption minimal. This paper examines the impact of the microprocessor computer on the autonomous vehicle. The trend toward distributed processing, and the increasing memory size, and the consequent impact on mission capabilities, communication, navigation and control are reviewed. Software design guides the reliability and effectiveness of the hardware, and demands a major portion of development effort. Progress in user oriented languages, software system design, and in flexibility between system elements is described.","","","10.1109/OCEANS.1981.1151682","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1151682","","Remotely operated vehicles;Mobile robots;Microprocessors;Hardware;Software design;Automata;Inspection;Costs;Energy consumption;Distributed processing","","2","","","IEEE","9 Sep 2010","","","IEEE","IEEE Conferences"
"Power Breakdown Analysis of a WCDMA Handset with Multi-channel Power Monitoring System","S. R. Cho; S. Kim; H. Lee; B. J. Kim; J. Y. Lee; S. -B. Hyun; S. -S. Park","Electronics and Telecommunications Research Institute, Daejeon, South Korea; Electronics and Telecommunications Research Institute, Daejeon, South Korea; Electronics and Telecommunications Research Institute, Daejeon, South Korea; Electronics and Telecommunications Research Institute, Daejeon, South Korea; Electronics and Telecommunications Research Institute, Daejeon, South Korea; Electronics and Telecommunications Research Institute, Daejeon, South Korea; Electronics and Telecommunications Research Institute, Daejeon, South Korea",2007 12th IEEE Symposium on Computers and Communications,"12 Nov 2007","2007","","","667","672","Monitoring power consumption of a running system is a first step to determine where to take an effort on power optimization to minimize unnecessary idle time in available operation modes. Coordinating hardware and software architecture in a certain block or module to extend its lifetime requires system-wide power breakdown profiling, which then validates applicable power saving techniques because of a trade-off between cost and benefit. Experimental results show that with a commercial 3G WCDMA handset, a multi-channel power monitoring system gathers real-time traces of power consumption of the WCMDA MSM6250 chipset platform under several different conditions, and generates comprehensive power breakdown analysis to verify power saving techniques.","1530-1346","978-1-4244-1520-5","10.1109/ISCC.2007.4381520","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4381520","","Electric breakdown;Multiaccess communication;Telephone sets;Monitoring;Energy consumption;Base stations;Real time systems;Baseband;Power generation;Mobile handsets","","1","","8","IEEE","12 Nov 2007","","","IEEE","IEEE Conferences"
"Improving External Memory Access for Avalon Systems on Programmable Chips","H. Eeckhaut; M. Christiaens; P. Faes; D. Stroobandt","Parallel Information Systems, ELIS, Ghent University, Ghent, Belgium; Parallel Information Systems, ELIS, Ghent University, Ghent, Belgium; Parallel Information Systems, ELIS, Ghent University, Ghent, Belgium; Parallel Information Systems, ELIS, Ghent University, Ghent, Belgium",2007 International Conference on Field Programmable Logic and Applications,"12 Nov 2007","2007","","","311","316","In this paper we present a new hardware design pattern for improving memory transfers to external dynamic memory in Altera's SOPC-builder tool by reusing the standard DMA IP core for all bulk memory transfers without the need for a CPU. The presented approach doubles the data throughput without the need for extra system resources. In addition it is more effective for choosing optimal clock settings for the different components of the system on a programmable chip. The benefits and limitations of this new approach are illustrated with a real world example: a bitplane assembler for scalable wavelet based video. The new design is 2.3 times faster with the same clock settings as the original design and uses about 100 logic elements less. Applying our new approach also has a positive impact on energy consumption.","1946-1488","978-1-4244-1059-0","10.1109/FPL.2007.4380665","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4380665","","Control systems;Fabrics;System-on-a-chip;Hardware;Clocks;Field programmable gate arrays;Master-slave;Logic design;Libraries;Read-write memory","","1","","9","IEEE","12 Nov 2007","","","IEEE","IEEE Conferences"
"The research of home Intelligent power system based on ZigBee","G. Yongqing; S. Dan","North China Institute of Science and Technology, Sanhe, Hebei, China; North China Institute of Science and Technology, Sanhe, Hebei, China","2013 3rd International Conference on Consumer Electronics, Communications and Networks","9 Jan 2014","2013","","","703","706","Firstly, this paper analyzes the significance and demand on Intelligent power. Then a solution of home intelligent power system based on ZigBee is proposed. Hardware components of the solution proposed in this work mainly consist of AT91SAM9G20 as the core of the home gateway controller, CC430F6137 as the core of the network node of intelligent power, as well as construction of intelligent home network system. Software components of the solution proposed in this work mainly comprise migration of the gateway controller operating system, writing application program and user interface program. Design of software in the object-oriented design pattern and the modular design concept, which the Home intelligent power system is divided into three major subsystems, namely: power consumption information navigating subsystem, household appliances remote control sub-system and home energy services sub-system. This system can meet the aspects of everyday life needs of user in convenient life, intelligent life and energy-saving. It brings great commercial return and technical value to the development and application of intelligent home in future, as well as far-reaching impact to improving the quality of intelligent home services.","","978-1-4799-2860-6","10.1109/CECNet.2013.6703428","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6703428","ZigBee;Home;Intelligent Node;Intelligent Gateway","Power demand;Artificial intelligence;Home appliances;Logic gates;Electrical products;Energy management","","7","","10","IEEE","9 Jan 2014","","","IEEE","IEEE Conferences"
"Design of Whole Chain Temperature Monitoring System for Raw Milk","W. Zhang; T. Cheng; H. Chen; X. Guo; G. Gao","The college of information and communications engineering, Faculty of Information Technology, Beijing University of Technology, Beijing, China; The college of information and communications engineering, Faculty of Information Technology, Beijing University of Technology, Beijing, China; The college of information and communications engineering, Faculty of Information Technology, Beijing University of Technology, Beijing, China; The college of information and communications engineering, Faculty of Information Technology, Beijing University of Technology, Beijing, China; The college of mechanical Engineering and Applied Electronics Technology, Beijing University of Technology, Beijing, China",2018 14th IEEE International Conference on Signal Processing (ICSP),"28 Feb 2019","2018","","","70","73","For the safety of dairy products, the quality of milk (raw milk) is particularly important. Because temperature influences the number of bacteria in raw milk, the suitable temperature can make the storage time of raw milk longer. Therefore, the realization of raw milk temperature monitoring system is particularly important. This system is composed of hardware design and software design. This system is based on STM23F103 MCU data acquisition and web page design based on Web. The system can accurately display the real-time temperature of each monitoring point, The monitoring points are three parts of the production, storage (pre cooling, refrigeration) and transportation of raw milk. The purpose is to realize the temperature monitoring of the whole chain and to provide data basis for the temperature regulation and control. The purpose of the system is to realize the temperature monitoring of the Full-chain and to provide data basis for the temperature control. According to the characteristics of the milk tanks, the unique temperature sending decision function of this system is designed, which can not only realize the real-time performance of temperature information, but also reduce the power consumption and flow loss of the sending end.","2164-5221","978-1-5386-4673-1","10.1109/ICSP.2018.8652315","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8652315","raw milk;temperature monitoring system;data acquisition;web page design","Temperature sensors;Dairy products;Monitoring;Temperature measurement;Temperature distribution;Servers","","1","","5","IEEE","28 Feb 2019","","","IEEE","IEEE Conferences"
"The Implementation of an Adaptive Data Reduction Technique for Wireless Sensor Networks","C. J. Debono; N. P. Borg","Department of Communication and Computer Engineering, University of Malta, Msida, Malta; Department of Communication and Computer Engineering, University of Malta, Msida, Malta",2008 IEEE International Symposium on Signal Processing and Information Technology,"6 Feb 2009","2008","","","402","406","Wireless sensor networks (WSN) have gained significant attention due to their ability to monitor physical phenomena within a wide range of applications. These networks are generally deployed in remote areas and are battery powered. This means that the lifetime of the network depends on the energy consumption, thus necessitating careful hardware and software design to sustain the long period of operation without human intervention. One way of reducing the energy required is to minimize the number of data transmissions. A prediction-based data reduction algorithm based on the least-mean-square (LMS) algorithm was implemented on a field programmable gate array (FPGA) to reduce the communication between the sensor nodes and the base station. Measurement results show that communication can be reduced by as much as 90% in a temperature monitoring application if an error of 0.5 degree is acceptable. This has a large impact on the lifetime of the wireless sensor network since the transceiver can be switched off during non-communication periods saving precious energy.","2162-7843","978-1-4244-3554-8","10.1109/ISSPIT.2008.4775688","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4775688","field programmable gate arrays;least-mean-square;prediction-based algorithm;wireless sensor networks","Wireless sensor networks;Sensor arrays;Field programmable gate arrays;Temperature sensors;Remote monitoring;Application software;Batteries;Energy consumption;Hardware;Software design","","10","","14","IEEE","6 Feb 2009","","","IEEE","IEEE Conferences"
"A Multi-Sensor-Based System for Cardiovascular Health Monitoring","H. Shan; W. Jin","College of Information Science & Electronic Engineering, Zhejiang University, Hangzhou, China; College of Information Science & Electronic Engineering, Zhejiang University, Hangzhou, China",2025 5th International Conference on Sensors and Information Technology,"29 May 2025","2025","","","442","447","With the rising prevalence of cardiovascular diseases, cardiovascular health monitoring systems have become crucial for personal health management. This paper presents the design and implementation of a multi-sensor-based cardiovascular health monitoring system. The system collects physiological signals, including photoplethysmography (PPG), electrocardiography (ECG), and phonocardiography (PCG) from the forehead and chest/abdomen, while also integrating auxiliary parameters such as body temperature and respiratory rate to provide a comprehensive cardiovascular health assessment. The hardware design consists of signal acquisition circuits for the forehead and chest/abdomen, along with a Bluetooth Low Energy (BLE) wireless transmission circuit. The collected data is transmitted wirelessly via the BLE protocol and subsequently analyzed on a personal computer (PC). Regarding software design, the data acquisition module is optimized for low power consumption and transmission stability. On the PC side, signal quality is enhanced through filtering techniques, heart rate and respiratory rate are determined using peak detection algorithms, and blood oxygen saturation is computed based on the Lambert-Beer law. Experimental results demonstrate that the system effectively monitors cardiovascular health in real-time and exhibits promising potential for practical applications.","","979-8-3315-4288-7","10.1109/ICSI64877.2025.11009742","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11009742","Cardiovascular Health Monitoring;Multi-Sensor;System Design;PPG;ECG;PCG","Temperature measurement;Heart rate;Accuracy;Power demand;Forehead;Electrocardiography;Real-time systems;Biomedical monitoring;Monitoring;Phonocardiography","","","","15","IEEE","29 May 2025","","","IEEE","IEEE Conferences"
"Research on Logic Integrated Circuit Design and System Verification of Fuze All-Electronic Safety System","Z. Zhang; Y. Li; X. Zhang; F. Meng; Y. Wu; F. Li; F. Chen; J. Zhao; W. Fu; Q. Zhang","Beijing Xinfeng Aerospace, Equipment Co. Ltd., Beijing, China; Beijing Xinfeng Aerospace, Equipment Co. Ltd., Beijing, China; Beijing Xinfeng Aerospace, Equipment Co. Ltd., Beijing, China; Beijing Xinfeng Aerospace, Equipment Co. Ltd., Beijing, China; Beijing Xinfeng Aerospace, Equipment Co. Ltd., Beijing, China; Beijing Xinfeng Aerospace, Equipment Co. Ltd., Beijing, China; Beijing Xinfeng Aerospace, Equipment Co. Ltd., Beijing, China; The Seventh Military Office in Beijing, Beijing, China; Xi'an Microelectronic, Technology Institute, Shanxi, China; Beijing Xinfeng Aerospace, Equipment Co. Ltd., Beijing, China","2025 IEEE 14th International Conference on Communications, Circuits and Systems (ICCCAS)","11 Aug 2025","2025","","","204","211","In view of the urgent need of miniaturization, integration and low power consumption of ammunition fuze all electronic safety system in modern war, adopting the principle of modular design, the hardware and software architecture of the system is designed, and the low-voltage logic integrated circuit chip solution using three-dimensional stacked package integration is proposed. The finite element simulation method is used to analyze the heat dissipation and overload bearing capacity and determine the chip production process parameters. The actual production and test results show that the IC chip size is $20.3 \times 20.3 \times 9.5 ~\text{mm}^{3}$, weight is 8.02 g, and dynamic power consumption reaches 0.866 W, comparing with traditional discrete circuit design the volume reduced by 87.9 %, weight reduced by 82.5 %, and dynamic power consumption reduced by 72.9 %. The electrical performance of fuze all-electronic safety system prototype equipped with integrated chip is normal, which verifying the proposed logic integrated circuit design has engineering application value.","","979-8-3315-4477-5","10.1109/ICCCAS65806.2025.11102184","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11102184","fuze;all-electronic safety system;three-dimensional stack;low-voltage logic control;integrated circuit chip","Integrated circuit synthesis;Heating systems;Low voltage;Power demand;Software architecture;Prototypes;Production;Hardware;Safety;Logic","","","","26","IEEE","11 Aug 2025","","","IEEE","IEEE Conferences"
"A Green Perspective on Structured Parallel Programming","M. Danelutto; M. Torquati; P. Kilpatrick","Dept. of Computer Science Univ. of Pisa; Dept. of Computer Science Univ. of Pisa; Dept. of Computer Science, Queen's Univ. Belfast","2015 23rd Euromicro International Conference on Parallel, Distributed, and Network-Based Processing","23 Apr 2015","2015","","","430","437","Structured parallel programming, and in particular programming models using the algorithmic skeleton or parallel design pattern concepts, are increasingly considered to be the only viable means of supporting effective development of scalable and efficient parallel programs. Structured parallel programming models have been assessed in a number of works in the context of performance. In this paper we consider how the use of structured parallel programming models allows knowledge of the parallel patterns present to be harnessed to address both performance and energy consumption. We consider different features of structured parallel programming that may be leveraged to impact the performance/energy trade-off and we discuss a preliminary set of experiments validating our claims.","2377-5750","978-1-4799-8491-6","10.1109/PDP.2015.116","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7092757","parallel design patterns;energy efficiency;DVFS;power management;algorithmic skeletons","Skeleton;Parallel programming;Parallel processing;Multicore processing;Business","","1","","27","IEEE","23 Apr 2015","","","IEEE","IEEE Conferences"
"A Formal Verification Method for the SOPC Software","S. Zhou; J. Wang; J. Jia; C. Zhang; R. Wang","Technology and Engineering Center for Space Utilization, Chinese Academy of Sciences, Beijing, China; Technology and Engineering Center for Space Utilization, Chinese Academy of Sciences, Beijing, China; Technology and Engineering Center for Space Utilization, Chinese Academy of Sciences, Beijing, China; Technology and Engineering Center for Space Utilization, Chinese Academy of Sciences, Beijing, China; Technology and Engineering Center for Space Utilization, Chinese Academy of Sciences, Beijing, China",IEEE Transactions on Reliability,"2 Jun 2022","2022","71","2","818","829","System on programmable chip (SOPC) is a kind of system on a programmable chip. The system architecture is superior to the traditional design pattern. The system has an on-chip bus between the processor and the programmable logic, which forms a high bandwidth, low latency, connection, and has rich flexible customization of IP. It also has advantages of low power consumption and high performance. The application in the field of high reliable proportion rising year by year. However, the change of system architecture and the expansion of software scale have brought great impact on the simulation test method and the physical test method. The existing dynamic testing methods are based on limited testing scenarios to investigate the system. It is difficult to find hidden errors in the design of complex connection segments, such as the errors in the on-chip bus transmission, the errors in the hardware and software coupling, and so on. Due to system scale of the state-space explosion problem and various forms IP, SOPC cannot apply formal verification techniques. In this article, we propose a SOPC formalized validation framework. It is based on polymorphous IP abstraction modeling, common formal properties analysis, and modeling methods in system architecture and other high-risk areas. The experimental results show that the proposed algorithm and the established SOPC formal verification framework can introduce the formal verification technique to SOPC high-risk area verification, and it can be used as the guidance of SOPC formal verification.","1558-1721","","10.1109/TR.2022.3166548","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9765632","Architecture verification;formal verification;SOPC;various forms IP abstraction","Security;IP networks;Software;Hardware;Testing;System-on-chip;Reliability","","4","","13","IEEE","29 Apr 2022","","","IEEE","IEEE Journals"
"HASCO: Towards Agile HArdware and Software CO-design for Tensor Computation","Q. Xiao; S. Zheng; B. Wu; P. Xu; X. Qian; Y. Liang","School of EECS, Peking University; School of EECS, Peking University; School of EECS, Peking University; School of EECS, Peking University; University of Southern California; School of EECS, Peking University",2021 ACM/IEEE 48th Annual International Symposium on Computer Architecture (ISCA),"4 Aug 2021","2021","","","1055","1068","Tensor computations overwhelm traditional general-purpose computing devices due to the large amounts of data and operations of the computations. They call for a holistic solution composed of both hardware acceleration and software mapping. Hardware/software (HW/SW) co-design optimizes the hardware and software in concert and produces high-quality solutions. There are two main challenges in the co-design flow. First, multiple methods exist to partition tensor computation and have different impacts on performance and energy efficiency. Besides, the hardware part must be implemented by the intrinsic functions of spatial accelerators. It is hard for programmers to identify and analyze the partitioning methods manually. Second, the overall design space composed of HW/SW partitioning, hardware optimization, and software optimization is huge. The design space needs to be efficiently explored. To this end, we propose an agile co-design approach HASCO that provides an efficient HW/SW solution to dense tensor computation. We use tensor syntax trees as the unified IR, based on which we develop a two-step approach to identify partitioning methods. For each method, HASCO explores the hardware and software design spaces. We propose different algorithms for the explorations, as they have distinct objectives and evaluation costs. Concretely, we develop a multi-objective Bayesian optimization algorithm to explore hardware optimization. For software optimization, we use heuristic and Q-learning algorithms. Experiments demonstrate that HASCO achieves a 1.25X to 1.44X latency reduction through HW/SW co-design compared with developing the hardware and software separately.","2575-713X","978-1-6654-3333-4","10.1109/ISCA52012.2021.00086","Research and Development; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9499796","Tensor Computation;hardware-software-co-design","Tensors;Heuristic algorithms;Software algorithms;Syntactics;Hardware;Software;Partitioning algorithms","","50","","87","IEEE","4 Aug 2021","","","IEEE","IEEE Conferences"
"Instruction level and operating system profiling for energy exposed software","A. Sinha; N. Ickes; A. P. Chandrakasan","Electrical Engineering and Computer Science Department, Massachusetts Institute of Technology, Cambridge, MA, USA; Electrical Engineering and Computer Science Department, Massachusetts Institute of Technology, Cambridge, MA, USA; Electrical Engineering and Computer Science Department, Massachusetts Institute of Technology, Cambridge, MA, USA",IEEE Transactions on Very Large Scale Integration (VLSI) Systems,"7 Jan 2004","2003","11","6","1044","1057","Energy conscious software design can significantly improve the energy efficiency of a portable system. A software energy estimation technique using instruction class profiling is presented. The technique is shown to have an estimation error of less than 3% with trivial runtime overhead, based on a set of application programs evaluated on the StrongARM SA-1100 and Hitachi SH-4 microprocessors. A technique to isolate the switching and leakage energy components of software is outlined. The energy overhead of a real-time operating system is also profiled. The overall impact of system-level software energy management is quantified using the MIT /spl mu/AMPS system as an application example.","1557-9999","","10.1109/TVLSI.2003.819569","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1255479","","Operating systems;Software systems;Application software;Software design;Energy efficiency;Estimation error;Runtime;Microprocessors;Real time systems;Energy management","","29","2","29","IEEE","7 Jan 2004","","","IEEE","IEEE Journals"
"An Energy Information Gateway for use in residential and commercial environments","D. Arnold; M. Sankur; D. Auslander","Department of Mechanical Engineering, University of California, Berkeley, CA, USA; Department of Mechanical Engineering, University of California, Berkeley, CA, USA; Graduate School in the Department of Mechanical Engineering, University of California, Berkeley, CA, USA",2012 IEEE Power and Energy Society General Meeting,"10 Nov 2012","2012","","","1","8","Growing demands for products which enable consumers to manage their energy use more efficiently has led to the development of Energy Information Gateways, which are just beginning to gain traction in the marketplace. Such devices are envisioned to provide a communications and control infrastructure for appliances within their domain of influence, as well as communication with metering equipment. All relevant energy consumption information is expected to be relayed to the occupant in a practical manner. This paper outlines a software architecture for an EIG which is applicable to both residential and commercial environments. The software package utilizes the highly modular Open Services Gateway Initiative (OSGI) JAVA software framework to allow customization of individual EIG functionality and facilitates interoperability for existing smart grid products. In addition, the software in question provides a connection to external demand response resources and hosts a dynamic web based user interface to facilitate occupant interaction.","1944-9925","978-1-4673-2729-9","10.1109/PESGM.2012.6344698","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6344698","Smart Grid;Communications;Demand Response;Demand Side Energy Management;Energy Information Gateway;Residential Energy Gateway","Home appliances;Logic gates;Zigbee;Java;Software;Load management;IEEE 802.11 Standards","","5","","12","IEEE","10 Nov 2012","","","IEEE","IEEE Conferences"
"MAGIC: Magnetic Resonant Coupling for Intra-body Communication","S. Banou; K. Li; K. Chowdhury","Electrical and Computer Engineering Department, Northeastern University, Boston, MA, USA; Electrical and Computer Engineering Department, Northeastern University, Boston, MA, USA; Electrical and Computer Engineering Department, Northeastern University, Boston, MA, USA",IEEE INFOCOM 2020 - IEEE Conference on Computer Communications,"4 Aug 2020","2020","","","1549","1558","This paper proposes MAGIC: magnetic resonant (MR) coupling for intra-body communication between implants and wearables. MAGIC includes not only the hardware-software design of the coupled coils and methods of manipulating the magnetic field for relaying information, but also the ability to raise immediate emergency-related alerts with guaranteed delivery time. MR coupling makes the design of the transmission link robust to channel-related parameters, as the magnetic permeability of skin and muscle is close to that of air. Thus, changes in tissue moisture content and thickness does not impact the design, which is a persistent problem in other approaches for implant communications like RF, ultrasound and galvanic coupling (GC). The paper makes three main contributions: It develops the theory leading to the design of the information relaying coils in MAGIC. It proposes a systems-level design of a communication link that extends up to 50cm with a low expected BER of 10-4. Finally, the paper includes an experimental setup demonstrating how MAGIC operates in air and muscle tissue, as well as a comparison with alternative implant communication technologies, such as classical radio frequency and GC. Results reveal that MAGIC offers instantaneous alerts with up to 5 times lower power consumption compared to other forms of communication.","2641-9874","978-1-7281-6412-0","10.1109/INFOCOM41043.2020.9155421","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9155421","","Coils;Magnetic resonance;Couplings;Magnetic separation;Implants;Relays","","10","","33","IEEE","4 Aug 2020","","","IEEE","IEEE Conferences"
"Research on Collaborative Networking Method of 5G Slicing and WiFi6 in Substation Scenarios","C. Xu; J. Sun; S. Zheng; F. Li","State Grid Liaoning Information and Communication Company, Liaoning, China; State Grid Liaoning Information and Communication Company, Liaoning, China; State Grid Liaoning Information and Communication Company, Liaoning, China; State Grid Liaoning Information and Communication Company, Liaoning, China","2023 7th International Conference on Electrical, Mechanical and Computer Engineering (ICEMCE)","16 Apr 2024","2023","","","198","203","This paper presents a collaborative networking approach for 5G slicing and WiFi6 in the context of substations. Based on a new switching algorithm of fuzzy logic, it first proposes a speed-adaptive network discovery method, which can automatically adjust the update frequency of the candidate network according to different speeds of mobile terminals, then proposes a pre-judgment mechanism for fast filtering out the candidate network; then describes the switching decision based on fuzzy logic to determine the optimal network and whether to switch. Finally, it describes the switching execution process in the heterogeneous environment of LET network and WIFI network. The method introduces a software architecture for key network elements and mechanisms for network enhancement, optimizing the energy efficiency of both the information and communication systems within the power grid. This optimization leads to an improved service quality in substations. By integrating WiFi terminal access into the 5G private network, the proposed approach achieves unified authentication, management, and rapid service provisioning for wireless local area network (WLAN) users without native 5G capabilities. This integration enhances mobility support for substations. Simultaneously, the method significantly enhances the uplink bandwidth while reducing network deployment and terminal retrofitting costs within substations. This approach facilitates high-speed and stable network connectivity for substations, supporting various applications such as realtime monitoring, data transmission, remote maintenance, and intelligent device management. Consequently, this advancement is anticipated to enhance the efficiency, reliability, and security of substations.","","979-8-3503-8287-7","10.1109/ICEMCE60359.2023.10490809","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10490809","Substation;5G;WiFi6;Collaborative Networking","Fuzzy logic;Substations;5G mobile communication;Federated learning;Software architecture;Switches;Power grids","","","","12","IEEE","16 Apr 2024","","","IEEE","IEEE Conferences"
"A Comparative Study of Software Architectures in Constrained Device IoT Deployments","S. du Plessis; N. Correia","CEOT, University of Algarve, Faro, Portugal; Faculty of Science and Technology, CEOT, University of Algarve, Faro, Portugal",2021 IEEE International Conference on Internet of Things and Intelligence Systems (IoTaIS),"7 Dec 2021","2021","","","35","41","The Internet of Things (IoT) is an area that has consistently seen growth and development and will no doubt continue to do so. One group of IoT devices - constrained devices - has seen significant developments in recent years. With the advent of constrained devices in almost every area of life, e.g. industrial, leisure and medical, this group of devices is well worth studying. Clearly, resource management is a critical aspect to ensure optimal use of such devices. A number of factors can have a significant impact on resource management, such as the operating system and the software architecture.This study aimed to compare the power consumption, runtime performance and memory consumption of two software architectures: microservices and monolithic. The study was conducted using a constrained device, and to ensure that the results are not language-specific, three different programming languages were used: Go, Python and C++. It was found that, for smallscale applications, the monolithic architecture performed better across most metrics. These results may provide valuable insights to engineers for the design and implementation of constrained-device IoT applications. It was recommended that additional research be conducted on larger-scale applications.","","978-1-6654-2035-8","10.1109/IoTaIS53735.2021.9628703","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9628703","Internet of Things;resource-constrained devices;software architecture;microservices;monolithic","Performance evaluation;Power demand;Runtime;Software architecture;Memory management;Microservice architectures;C++ languages","","1","","18","IEEE","7 Dec 2021","","","IEEE","IEEE Conferences"
"Contents","",,2012 First International Workshop on Green and Sustainable Software (GREENS),"25 Jun 2012","2012","","","1","1","The following topics are dealt with: green software; sustainable software; CPU energy usage; green mobile cloud applications; GreenIT; data center energy optimization; energy-efficient synchronization; software energy-efficiency measurement; design pattern energy usage; economic impact; and ultra-large-scale green information system architecture.","","978-1-4673-1832-7","10.1109/GREENS.2012.6224261","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6224261","","","","","","","IEEE","25 Jun 2012","","","IEEE","IEEE Conferences"
